Date,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipitation (in)
Date,Temp Max,Temp Avg,Temp Min,Dew Max,Dew Avg,Dew Min,Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max,Avg,Min,Max,Avg,Min,Total
1/1/20,32,30,,28,24.2,19,81,72.9,60,24,18.9,9,29.5,29.4,29.3,0
1/2/20,41,38.5,34,36,33.1,28,93,80.5,70,20,13.6,6,29.5,29.4,29.4,0
1/3/20,45,41.4,37,39,35.6,30,100,80.7,65,16,8.4,5,29.6,29.5,29.4,0
1/4/20,39,34.6,32,32,29.9,23,100,84.5,65,18,7.7,2,29.6,29.5,29.4,0
1/5/20,36,33,30,32,27.7,19,100,81.8,60,23,12.6,3,29.8,29.6,29.5,0
1/6/20,37,35.4,32,34,27.8,16,93,76.2,48,31,18.3,10,29.7,29.5,29.4,0
1/7/20,39,33.4,27,32,26.8,19,86,77,64,16,10.7,2,29.7,29.6,29.5,0
1/8/20,34,27.5,19,28,18.1,5,93,69.2,47,25,15.2,7,30.3,29.7,29.5,0
1/9/20,36,24,16,25,15.4,5,93,70.3,58,18,11.1,2,30.4,30.2,29.9,0
1/10/20,43,40.8,36,43,39.2,25,100,94.5,65,22,6.3,0,29.9,29.9,29.9,0
1/11/20,54,43.5,36,52,42.6,36,100,96.5,87,21,8.2,0,29.9,29.6,29.5,0
1/12/20,36,31.4,23,36,27.1,14,100,85.2,68,23,13.4,3,30.2,29.6,29.3,0
1/13/20,36,30.4,25,34,28.4,21,100,91.9,86,18,9.5,0,30.1,30,30,0
1/14/20,39,27.2,0,36,25.5,0,100,72.1,0,17,9.8,0,30.1,23.3,0,0
1/15/20,39,34.7,0,34,28.9,0,87,71,0,17,9.1,0,29.9,27.3,0,0
1/16/20,37,33,18,34,25.7,7,93,76.1,58,25,12.6,7,30.3,29.8,29.6,0
1/17/20,19,15.4,9,10,5.4,-2,73,65.4,53,14,6.3,0,30.6,30.5,30.4,0
1/18/20,37,29.4,19,36,26.8,12,100,90.7,68,26,13.7,0,30.4,29.5,29.2,0
1/19/20,36,27.1,16,30,20.2,5,93,75.9,58,30,16.1,7,30,29.5,29.3,0
1/20/20,25,17.9,9,16,8.6,1,80,67.3,50,16,10.7,6,30.2,30.2,30,0
1/21/20,28,25.7,21,21,17.7,12,80,71.5,64,22,12.7,0,30.2,30.2,30.1,0
1/22/20,34,28.9,23,27,22.4,16,86,76.6,65,23,18.1,10,30.1,30.1,30,0
1/23/20,36,32.4,28,32,25.7,19,93,76.9,69,13,5.3,0,30,30,30,0
1/24/20,37,36.1,34,36,30.3,27,93,79.9,70,26,20.2,9,30,29.9,29.7,0
1/25/20,37,36.9,36,37,35.8,34,100,94.1,87,28,15,0,29.7,29.6,29.5,0
1/26/20,37,36.2,34,34,32.8,30,93,88.2,81,17,14.6,12,29.5,29.4,29.4,0
1/27/20,36,35.2,34,30,28.4,27,87,77.5,70,16,11.4,7,29.6,29.5,29.4,0
1/28/20,36,32.7,30,30,26.6,21,93,79,56,15,8.5,3,29.8,29.7,29.6,0
1/29/20,30,25.7,21,25,16.4,10,80,68.5,51,13,7.9,0,30,29.9,29.8,0
1/30/20,30,27.2,25,25,20.9,12,86,77.5,59,14,10.1,0,30,30,30,0
1/31/20,34,30.1,27,27,24.1,21,86,77.7,69,8,5,0,30,29.9,29.9,0
